ID nummer;Naam;Begin vers;Eind vers
329;Ela, koning van Isaël;1 Koningen 16:8;1 Koningen 16:14
330;Zimri, koning van Israël;1 Koningen 16:15;1 Koningen 16:22
331;Omri, koning van Israël;1 Koningen 16:23;1 Koningen 16:28
332;Achab, koning van Israël;1 Koningen 16:29;1 Koningen 16:34
333;De profeet Elia;1 Koningen 17:1;1 Koningen 17:24
334;Elia en de profeten van Baäl;1 Koningen 18:1;1 Koningen 18:46
335;Elia op de Horeb;1 Koningen 19:1;1 Koningen 19:21
336;Eerste oorlog met Aram;1 Koningen 20:1;1 Koningen 20:43
337;De wijngaard van Nabot;1 Koningen 21:1;1 Koningen 21:29
338;Derde oorlog met Aram;1 Koningen 22:1;1 Koningen 22:40
339;Josafat, koning van Juda;1 Koningen 22:41;1 Koningen 22:51
340;Achazja, koning van Israël;1 Koningen 22:52;1 Koningen 22:54
341;De dood van Achazja;2 Koningen 1:1;2 Koningen 1:18
342;Elia in de hemel opgenomen;2 Koningen 2:1;2 Koningen 2:18
343;Eerste optreden van Elisa;2 Koningen 2:19;2 Koningen 2:25
344;Joram, koning van Israël, trekt ten strijde tegen Moab;2 Koningen 3:1;2 Koningen 3:27
345;Elisa helpt een arme weduwe;2 Koningen 4:1;2 Koningen 4:7
346;Elisa en de vrouw uit Sunem;2 Koningen 4:8;2 Koningen 4:37
347;Het bittere gerecht;2 Koningen 4:38;2 Koningen 4:41
348;Een maal voor honderd profeten;2 Koningen 4:42;2 Koningen 4:44
349;De genezing van Naäman;2 Koningen 5:1;2 Koningen 5:27
350;De drijvende bijl;2 Koningen 6:1;2 Koningen 6:7
351;Elisa's optreden in de oorlog tegen Aram;2 Koningen 6:8;2 Koningen 6:23
352;Het beleg van Samaria;2 Koningen 6:24;2 Koningen 7:20
353;De vrouw uit Sunem krijgt haar bezittingen terug;2 Koningen 8:1;2 Koningen 8:6
354;Elisa in Damascus;2 Koningen 8:7;2 Koningen 8:15
355;Joram, koning van Juda;2 Koningen 8:16;2 Koningen 8:24
356;Achazja, koning van Juda;2 Koningen 8:25;2 Koningen 8:29
357;Jehu, koning van Israël;2 Koningen 9:1;2 Koningen 9:13
358;De dood van Joram en Achazja;2 Koningen 9:14;2 Koningen 9:29
359;De dood van Izebel;2 Koningen 9:30;2 Koningen 9:37
360;Jehu roeit het koningshuis van Achab uit en maakt een einde aan de Baälsdienst;2 Koningen 10:1;2 Koningen 10:36
361;Atalja, koningin van Juda;2 Koningen 11:1;2 Koningen 11:20
362;Joas, koning van Juda;2 Koningen 12:1;2 Koningen 12:22
363;Joachaz, koning van Israël;2 Koningen 13:1;2 Koningen 13:9
364;Joas, koning van Israël, de dood van Elisa;2 Koningen 13:10;2 Koningen 13:25
365;Amasja, koning van Juda;2 Koningen 14:1;2 Koningen 14:22
366;Jerobeam, koning van Israël;2 Koningen 14:23;2 Koningen 14:29
367;Azarja, koning van Juda;2 Koningen 15:1;2 Koningen 15:7
368;Zecharja, koning van Israël;2 Koningen 15:8;2 Koningen 15:12
369;Sallum, koning van Israël;2 Koningen 15:13;2 Koningen 15:16
370;Menachem, koning van Israël;2 Koningen 15:17;2 Koningen 15:22
371;Pekachja, koning van Israël;2 Koningen 15:23;2 Koningen 15:26
372;Pekach, koning van Israël;2 Koningen 15:27;2 Koningen 15:31
373;Jotam, koning van Juda;2 Koningen 15:32;2 Koningen 15:38
374;Achaz, koning van Juda;2 Koningen 16:1;2 Koningen 16:20
375;Hosea, koning van Israël, de val van Samaria;2 Koningen 17:1;2 Koningen 17:6
376;Beschouwing over de ondergang van Israël;2 Koningen 17:7;2 Koningen 17:41
377;Hizkia, koning van Juda;2 Koningen 18:1;2 Koningen 18:12
378;Jeruzalem door Sanherib bedreigd;2 Koningen 18:13;2 Koningen 19:37
379;Hizkia's ziekte en genezing;2 Koningen 20:1;2 Koningen 20:21
380;Manasse, koning van Juda;2 Koningen 21:1;2 Koningen 21:18
381;Amon, koning van Juda;2 Koningen 21:19;2 Koningen 21:26
382;Josia, koning van Juda;2 Koningen 22:1;2 Koningen 22:20
383;Maatregelen tegen de afgodendienst;2 Koningen 23:1;2 Koningen 23:30
384;Joachaz, koning van Juda;2 Koningen 23:31;2 Koningen 23:35
385;Jojakim, koning van Juda;2 Koningen 23:36;2 Koningen 24:7
386;Jojachin, koning van Juda;2 Koningen 24:8;2 Koningen 24:17
387;Sedekia, koning van Juda, de verwoesting van Jeruzalem;2 Koningen 24:18;2 Koningen 25:26
388;Gratie voor Jojachin;2 Koningen 25:27;2 Koningen 25:30
